Close,DateTime,High,Low,Open,Symbol,Volume
199.4,1.53258E+12,202.12,198.91,201.53,HD,4280024
197.14,1.53267E+12,200.49,196.68,200.21,HD,3871568
197.28,1.53293E+12,197.57,196.4,196.53,HD,2331224
197.52,1.53301E+12,198.03,196.87,197.69,HD,2795866
196.3,1.5331E+12,197.74,195.6,196.86,HD,3086996
195.66,1.53319E+12,195.8444,193.55,195.1,HD,3543511
195.64,1.53327E+12,196.4,195.25,196.03,HD,2309318
195.69,1.53353E+12,196.06,195.11,195.62,HD,2515673
197.05,1.53362E+12,197.2,195.64,196.35,HD,3052464
198.02,1.5337E+12,198.91,197.3,197.44,HD,2177400
198.08,1.53379E+12,199.74,198.04,199,HD,2465988
196.3,1.53388E+12,197.93,195.6438,197.34,HD,2873006
194.14,1.53414E+12,197.59,194,196.3,HD,5294354
193.1,1.53422E+12,195.98,191.27,195.17,HD,11487974
193.99,1.53431E+12,194.18,191.09,191.75,HD,6049299
195.39,1.5344E+12,196.09,193.72,194.02,HD,5690109
195.56,1.53448E+12,195.98,194.82,195.6,HD,3885804
197.93,1.53474E+12,198.44,195.4,195.84,HD,2956741
200.23,1.53483E+12,200.74,198.41,198.83,HD,4124597
198.97,1.53491E+12,203.55,198.6505,200.8,HD,5007014
200.16,1.535E+12,201.41,199.14,199.39,HD,3595033
201.3,1.53509E+12,202.5,200,200.35,HD,3054321
201.98,1.53535E+12,202.95,201.19,202.83,HD,2521349
201.97,1.53543E+12,202.4196,200.63,202.3,HD,3516441
201.68,1.53552E+12,201.99,200.7125,201.11,HD,2488194
199.26,1.53561E+12,201.44,199.1,201,HD,2825582
200.77,1.53569E+12,200.91,199.29,199.38,HD,4023306
205.08,1.53604E+12,205.92,200.5,200.69,HD,4612762
204.15,1.53612E+12,206.67,203.15,204.83,HD,3667119
205.89,1.53621E+12,207.09,203.8,204.59,HD,3490531
206.23,1.5363E+12,207.2299,205.43,205.45,HD,3672696
210.69,1.53656E+12,211.62,208.13,208.13,HD,5586552
213.85,1.53664E+12,214.66,211.5,213,HD,5969470
211.98,1.53673E+12,215.43,210.91,214.03,HD,5660075
209.45,1.53681E+12,211.44,208.7,211.44,HD,4701094
209.07,1.5369E+12,210.53,207.55,210.19,HD,3622393
208.4,1.53716E+12,210.035,208.26,209.08,HD,3074720
211.02,1.53725E+12,211.73,208.16,208.63,HD,4338462
211.68,1.53733E+12,212.67,210.66,212,HD,2579094
211.06,1.53742E+12,212.61,211.005,211.66,HD,4020776
212.39,1.53751E+12,212.66,210.51,211.3,HD,9749205
207.99,1.53777E+12,211.84,207.96,211.52,HD,4623688
207.46,1.53785E+12,209.3,206.8,208.84,HD,4443309
207.52,1.53794E+12,209.14,207.23,208.58,HD,2965845
206.84,1.53802E+12,207.83,205.6713,207.5,HD,3218841
207.15,1.53811E+12,208.85,206.35,206.44,HD,3966222
207.6,1.53837E+12,209.79,207.37,208.52,HD,3670701
204.75,1.53846E+12,208.04,204.67,207.49,HD,4428039
203.74,1.53854E+12,206.46,203.65,206.1622,HD,4162453
198.85,1.53863E+12,203.76,198.27,203.65,HD,5996170
196.38,1.53872E+12,199.7,194.57,199.07,HD,5016586
198.41,1.53897E+12,198.66,195.06,196.24,HD,3731816
195.75,1.53906E+12,199.18,195.58,197.95,HD,4466758
193.7,1.53915E+12,199.24,193.35,199.11,HD,6157921
189.74,1.53923E+12,196.67,188.47,193.71,HD,5831416
192.47,1.53932E+12,193.59,190.16,192.75,HD,5450229
191.17,1.53958E+12,193.29,190.7021,192.36,HD,3642768
193.58,1.53967E+12,194.08,190.61,191.83,HD,4057412
185.17,1.53975E+12,190.67,183.98,189.64,HD,8985667
180.44,1.53984E+12,185.4,179.53,184.26,HD,9261963
179.85,1.53993E+12,180.99,178.57,180.34,HD,7004297
178.75,1.54018E+12,181.4,177.56,180.82,HD,4866716
178.53,1.54027E+12,179.49,175.44,175.77,HD,7004926
176.97,1.54036E+12,182.3693,176.31,178.58,HD,6791655
179.07,1.54044E+12,180.5,176.8262,177.52,HD,5227977
172.23,1.54053E+12,177.34,170.91,176.88,HD,9472382
173.2,1.54079E+12,175.99,170.95,173.74,HD,5918379
176.24,1.54088E+12,176.43,172.64,173.16,HD,5657107
175.88,1.54096E+12,178.85,175.59,177.98,HD,6339454
180.46,1.54105E+12,180.86,175.9,176.84,HD,5225343
179.93,1.54113E+12,183.01,177.39,182.47,HD,4730020
182.19,1.5414E+12,182.41,179.3,181.02,HD,3885319
182.01,1.54148E+12,182.65,180.05,181.93,HD,3339037
187.23,1.54157E+12,187.68,182.06,183.79,HD,4673834
188,1.54166E+12,188.69,185.72,187.13,HD,4054004
185.99,1.54174E+12,188.48,184.96,188.32,HD,4761172
